area,bb_ratio,falling,hue1,hue2,hue3,hue4,hue5,hue6,hue7,position,variance
2013,1.8484848484848484,1,0.0010831189358288737,3.3107991716427456e-07,2.4688073804560086e-12,9.459325659643692e-12,4.1016798104285395e-23,4.78217723532353e-15,-2.018029502684137e-23,3,4811.873974160506
2914,1.3191489361702127,1,0.0008761708853733007,2.5705191224988417e-08,4.4653248935824084e-13,2.4254172797319593e-13,4.399333745358822e-26,3.075171070135103e-17,6.66007324217066e-26,3,5192.300079398015
2793,1.163265306122449,1,0.000888597416088357,1.8764752804730934e-08,6.452809223249575e-13,1.0414751906425573e-12,8.45079068223097e-25,-1.3810795410177289e-16,-1.2160508412634109e-25,3,5603.061224489796
2046,1.878787878787879,1,0.0010923815240675787,3.3388952703213755e-07,9.894245386600261e-13,6.887507947961568e-12,1.2712112103771869e-23,3.0584485545683433e-15,-1.2715144323641399e-23,3,6165.134297520661
1653,1.9655172413793103,1,0.0011841277531247786,5.03867169826715e-07,2.3932130068983004e-12,2.0223717235482837e-12,3.872762796923245e-24,-9.05283140456868e-16,2.190230467474964e-24,3,7930.101514817144
1404,1.9259259259259258,1,0.0011418205116868173,4.958079924335025e-07,6.5930213320465506e-12,3.2539491332547748e-12,6.078080113474334e-25,1.6436967134305779e-16,-1.5059305140646638e-23,3,5349.839629447001
1560,2.3076923076923075,1,0.0013955074538535338,9.764927678338783e-07,2.8561778760749775e-11,3.143734369550072e-11,8.785413399283452e-22,2.922434408319249e-14,3.399587783218603e-22,3,7049.478457840236
1159,3.210526315789474,1,0.002135764284082118,3.1786063495363184e-06,2.0589449359198546e-10,2.6734924498772827e-10,6.264597499201211e-20,4.5168814868854256e-13,-3.1480089993217046e-21,3,7656.048101625796
1645,1.3428571428571427,1,0.0009453836339820177,6.766830926183549e-08,1.2139805638180876e-11,1.4834845263170582e-11,1.985443785097096e-22,3.76337196486301e-15,1.4610987926120377e-23,3,7004.324479633411
2107,1.1395348837209303,1,0.0009372348249841228,6.091390315309884e-09,1.4295334190792014e-13,5.74222569669071e-12,-3.4893856153147474e-25,-4.477633135387916e-16,5.190850417497203e-24,3,5360.189721742496
2040,1.275,1,0.0009083476852066084,7.360995352434722e-08,3.8257366994208976e-12,8.056325761783522e-12,-2.9671115694686613e-23,-2.0897882156959247e-15,-3.3467412115397596e-23,3,6231.234375
2745,1.3555555555555556,1,0.0009240939413860181,8.78025308760633e-08,2.5855089831071615e-13,1.1753041266792881e-12,2.6025037029915488e-25,-2.996370994724822e-16,5.93317510985651e-25,3,3901.8667622204307
1972,1.7058823529411764,1,0.0010525747459956731,2.979940781401475e-07,4.665954390189203e-13,1.602818000535468e-12,1.3708014311497895e-24,-5.216895161670988e-16,-2.0541256734481796e-25,3,5527.933635552913
1768,1.5294117647058822,1,0.0010496750287289612,2.0564859721439684e-07,8.702700796628394e-12,9.952658168371126e-12,4.732295864697499e-23,-2.3657433291221132e-15,7.962551140788237e-23,3,7139.672707100591
2236,1.2093023255813953,1,0.000803582825799551,4.295854489314516e-09,3.113583921329368e-12,4.290800712610578e-12,1.4141913892655997e-23,2.591519899214746e-16,6.780307618007437e-24,3,4837.568899189071
1363,1.6206896551724137,1,0.0011289006100801983,2.3855124092719135e-07,3.751472048600106e-12,2.1236477920162657e-12,-5.2731742690422195e-24,-1.0121290410477784e-15,-2.8500822305359023e-24,3,6293.998608007777
1368,1.0555555555555556,1,0.0008870160503356443,2.1193613524331996e-08,5.916769866498854e-12,2.2518571236307558e-11,9.787097367293621e-23,-3.678424372385432e-16,-2.4079867095456637e-22,3,7673.609067212989
2173,1.2926829268292683,1,0.0008901687949163269,1.1898492848789337e-07,6.051732732056602e-12,5.626318917197859e-12,-2.091779438269713e-23,-1.7825149535389954e-15,-2.5303796269095072e-23,3,5089.460165538279
