,falling,area,bb_ratio,hu1,hu2,hu3,hu4,hu5,hu6,hu7,variance
33,0,961,1.0,0.00132798138592,1.83379319969e-07,2.95373914219e-11,4.9268169327e-11,1.1824376946e-21,-2.04425307906e-14,1.46090848768e-21,16194.9758046
34,0,1054,1.09677419355,0.000867884247685,3.94117087473e-09,6.34841611018e-12,5.1411074625e-12,-2.93583624732e-23,3.61319841902e-18,8.59156447483e-25,10411.4008845
35,0,1496,1.29411764706,0.000925729668236,3.54650464741e-08,7.78606173394e-12,2.00969731879e-11,1.63741007244e-22,3.42977566667e-15,1.90755927051e-22,11443.359375
36,0,1677,1.10256410256,0.00122090017337,3.58560939726e-08,2.33292910673e-11,2.00430400079e-11,2.33936992747e-22,3.22178200113e-15,-3.64849720077e-22,15251.1104675
37,0,1980,1.02272727273,0.00115030590865,6.64551598573e-08,1.4880235501e-11,1.63536713247e-11,1.99997391527e-22,4.10579351945e-15,-1.58373768461e-22,14652.0047635
38,0,1484,1.89285714286,0.00207519254016,1.49566711131e-06,9.33055065666e-11,7.11951469188e-11,3.97244503395e-21,6.17078271878e-14,4.22975992316e-21,16255.7775754
39,1,1664,1.625,0.00120705556935,2.62481368664e-07,3.79425715704e-11,6.29465314511e-11,3.06481135979e-21,2.81999347461e-14,2.64994112026e-22,13821.3257197
40,1,1430,2.11538461538,0.00131405870098,6.72033296036e-07,1.61231009624e-13,2.62451336035e-13,-4.05896908726e-26,1.20771900204e-16,3.55975310757e-26,12814.3354687
41,1,1512,1.92857142857,0.00135167313107,5.91695711e-07,1.16123651348e-12,2.47756591853e-12,2.12592221157e-24,1.16109321477e-15,3.62500814309e-24,13696.3718821
42,1,1920,1.2,0.000931889113235,3.67927671641e-08,6.80566062426e-12,5.37102641455e-12,1.49567343669e-23,9.75602537299e-17,2.88233471083e-23,11541.496521
43,1,1440,1.40625,0.00106608055593,1.05697439955e-07,7.77285130117e-12,3.97257143308e-12,-1.95138510094e-23,-1.22998039239e-15,-1.03203004824e-23,12673.7287326
44,1,1960,1.6,0.00108144611537,2.54155502152e-07,1.6670362965e-11,9.62847901003e-12,-8.13450559122e-23,-7.27801359283e-16,-9.09038078772e-23,12388.8062005
45,1,2340,1.53846153846,0.00107189441298,3.27368486377e-07,2.04630623088e-11,2.15244400893e-11,1.70848098857e-22,-5.35806168425e-16,-4.18180395033e-22,12920.4470743
46,1,1102,3.05263157895,0.00235580106057,3.60209733669e-06,5.10467638604e-11,3.5365022588e-12,-4.02611479875e-23,-6.22971326399e-15,2.52361585567e-23,15822.5372487
47,1,2464,1.27272727273,0.00100609220446,7.93216769947e-08,8.19859240796e-13,8.51902119897e-13,-7.11618405023e-25,-1.76848439809e-16,2.19778084351e-26,11786.698046
48,1,1083,3.0,0.00242601192073,3.77686716683e-06,1.45848941792e-10,1.37757077421e-11,-6.05947403772e-22,-2.66101821207e-14,1.18779789086e-22,16018.3984162
49,1,2436,1.38095238095,0.00086238516404,6.85739986501e-08,8.17528640017e-13,1.5299903894e-14,1.14715486876e-27,1.84502634506e-18,-1.26965440353e-27,7615.49433983
50,1,1904,1.64705882353,0.00122208699066,3.58865938412e-07,1.13633335626e-11,2.45158551274e-11,4.01703774728e-22,1.16275103422e-14,-7.79058859684e-23,13625.1096142
